Model,Collection,Field,InlineType,CatalogType,Required,Readonly
tactacScheme,app_version_file_preprod,heure,datetime,text,false,false
tactacScheme,app_version_file_preprod,dateCreation,date,datetime,false,false
tactacScheme,cart,id,id,number,false,true
tactacScheme,cart,totalTtc,currency,number,false,false
tactacScheme,categorie_produit,id,id,number,false,true
tactacScheme,client,id,id,number,false,true
tactacScheme,client,telephone,phone,text,false,false
tactacScheme,client,description,text-long,text-block,false,false
tactacScheme,client,mobile,phone,text,false,false
tactacScheme,client,fax,phone,text,false,false
tactacScheme,client_categorie,id,id,number,false,true
tactacScheme,client_categorie,description,text-long,text-block,false,false
tactacScheme,client_type,id,id,number,false,true
tactacScheme,client_type,description,text-long,text-block,false,false
tactacScheme,comande_history,id,id,number,false,true
tactacScheme,commande,id,id,number,false,true
tactacScheme,commande,dateCreation,date,datetime,false,false
tactacScheme,commande,description,text-long,text-block,false,false
tactacScheme,commande,heure,datetime,text,false,false
tactacScheme,commande,telephone,phone,text,false,false
tactacScheme,commande,prix,currency,number,false,false
tactacScheme,commande,rang,text,number,false,false
tactacScheme,commande_facture,id,id,number,false,true
tactacScheme,commande_facture,marge,text,number,false,false
tactacScheme,commande_facture,heure,datetime,text,false,false
tactacScheme,commande_facture,total,currency,number,false,false
tactacScheme,commande_ligne,id,id,number,false,true
tactacScheme,commande_ligne,prix,currency,number,false,false
tactacScheme,commande_ligne,total,currency,number,false,false
tactacScheme,commande_ligne,description,text-long,text-block,false,false
tactacScheme,commande_proposition,id,id,number,false,true
tactacScheme,commande_proposition,dateCreation,date,datetime,false,false
tactacScheme,commande_proposition,heure,datetime,text,false,false
tactacScheme,commande_slot,id,id,number,false,true
tactacScheme,commande_slot_ligne,id,id,number,false,true
tactacScheme,commande_statut,id,id,number,false,true
tactacScheme,commande_statut,icon,text,icon,false,false
tactacScheme,commune,id,id,number,false,true
tactacScheme,contact_type,id,id,number,false,true
tactacScheme,contact_type,icon,text,icon,false,false
tactacScheme,cron,id,id,number,false,true
tactacScheme,daemon,id,id,number,false,true
tactacScheme,daemon,heureDebut,date,text,false,false
tactacScheme,entite,id,id,number,false,true
tactacScheme,facture,id,id,number,false,true
tactacScheme,facture,totalHt,currency,number,false,false
tactacScheme,facture,totalTva,currency,number,false,false
tactacScheme,facture,totalTtc,currency,number,false,false
tactacScheme,facture_ligne,id,id,number,false,true
tactacScheme,facture_ligne,prix,currency,number,false,false
tactacScheme,facture_ligne,totalHt,currency,number,false,false
tactacScheme,facture_ligne,totalTtc,currency,number,false,false
tactacScheme,facture_ligne,totalTva,currency,number,false,false
tactacScheme,jours,id,id,number,false,true
tactacScheme,livraison,id,id,number,false,true
tactacScheme,livraison,heureDebut,date,text,false,false
tactacScheme,livraison,heureFin,date,text,false,false
tactacScheme,livraison_statut,id,id,number,false,true
tactacScheme,livreur,id,id,number,false,true
tactacScheme,livreur,mobile,phone,text,false,false
tactacScheme,livreur,password,text,password,false,false
tactacScheme,livreur_affectation,id,id,number,false,true
tactacScheme,livreur_affectation,heureDebut,date,text,true,false
tactacScheme,livreur_affectation,heureFin,date,text,true,false
tactacScheme,produit,id,id,number,false,true
tactacScheme,produit,description,text-long,text-block,false,false
tactacScheme,produit,prix,currency,number,true,false
tactacScheme,produit_categorie,id,id,number,false,true
tactacScheme,produit_type,id,id,number,false,true
tactacScheme,secteur,id,id,number,false,true
tactacScheme,secteur,latitude,text,number,false,false
tactacScheme,secteur,longitude,text,number,false,false
tactacScheme,secteur_jours_shift,id,id,number,false,true
tactacScheme,secteur_jours_shift,heureDebut,date,text,false,false
tactacScheme,secteur_jours_shift,heureFin,date,text,false,false
tactacScheme,shop,id,id,number,false,true
tactacScheme,shop,description,text-long,text-block,false,false
tactacScheme,shop,telephone,phone,text,true,false
tactacScheme,shop,password,text,password,false,false
tactacScheme,shop,latitude,text,number,false,false
tactacScheme,shop,longitude,text,number,false,false
tactacScheme,shop_categorie,id,id,number,false,true
tactacScheme,shop_client,id,id,number,false,true
tactacScheme,shop_client,telephone,phone,text,false,false
tactacScheme,shop_client,mobile,phone,text,false,false
tactacScheme,shop_configuration,id,id,number,false,true
tactacScheme,shop_configuration_ligne,id,id,number,false,true
tactacScheme,shop_jours,id,id,number,false,true
tactacScheme,shop_jours_shift,id,id,number,false,true
tactacScheme,shop_jours_shift,heureDebut,date,text,false,false
tactacScheme,shop_jours_shift,heureFin,date,text,false,false
tactacScheme,shop_jours_shift_run,id,id,number,false,true
tactacScheme,shop_jours_shift_run,heureDebut,date,text,false,false
tactacScheme,shop_jours_shift_run,heureFin,date,text,false,false
tactacScheme,shop_type,id,id,number,false,true
tactacScheme,tache,id,id,number,false,true
tactacScheme,tache,description,text-long,text-block,false,false
tactacScheme,tache,heureDebut,date,text,false,false
tactacScheme,tache,heureFin,date,text,false,false
tactacScheme,tache_statut,id,id,number,false,true
tactacScheme,tache_statut,icon,text,icon,false,false
tactacScheme,tache_type,id,id,number,false,true
tactacScheme,ville,id,id,number,false,true
